id_enfermera,rol,pswrd,edad,sexo,id_centro,contacto,nombre,login,chat_id,bottoken,fcm_token,visible
1,30,NmGxDawFoP,34,M,10,600671287,Enfermera_1,login_1,286320161,xGaMLEo5kdromd7,U50qf2LdDajC03VTpHITEx38eztXdJ,1
2,20,MuEKkQ1XoS,40,F,6,600486105,Enfermera_2,login_2,797702165,8w6pwhVdmaI7eT3,QyYSzGPIu0DhBrE6qnDwml6mWrDJds,1
3,20,4V4ISHWXuq,28,F,3,600228701,Enfermera_3,login_3,684902425,svp5rcO7VrsRXN9,bDIU99mTcQf8YDMLqbk5WtLaSYJlJL,1
4,20,zIrks1kFOT,58,M,7,600921156,Enfermera_4,login_4,673051255,NyOfWx1iGcHBnjX,tOblfQf0PIMTyxWcVQoocl5iIKNm4P,1
5,10,CLCMzUipXC,40,,1,600767207,Enfermera_5,login_5,481157976,Ba0IAV6g0bOUF0X,c7CSD5CT8zPiLdSTNHGM8hygL1vr2P,1
6,10,5sVhyBSUDu,34,M,8,600251533,Enfermera_6,login_6,500376321,fFqYDefXyhOw7c6,MRcFAPTb27ZvKdhhvUAwelRGMhSdli,1
7,10,ELadf6dluk,33,F,1,600658003,Enfermera_7,login_7,122137155,gi1DE4HiUmW9Ffm,itbjsctJ1qFYCNvKX0eoXuuyFJryBo,0
8,30,vJarlJeVeE,37,F,3,600346929,Enfermera_8,login_8,389146840,MbDeUggygXNhiJF,IfgFurNsuYnezB4a6z49clN2WmNTEn,1
9,10,pkBUIJMwoa,35,,4,600853432,Enfermera_9,login_9,677735399,UPRQrdW9x8gsXXC,4LCWnaSsgmsfx3WQZRYciHqCrkmxpw,0
10,30,MuGqzbOkkg,57,M,8,600797505,Enfermera_10,login_10,913466094,RFSVXCXhX7GXh7A,QqoE0tVBoGv1XJhPRFkazSNjTyxkln,0
11,20,VnFizTCk2o,46,,2,600959876,Enfermera_11,login_11,547071205,2zfS3Ij9sI5PDIS,uC7356IUqLVh6jOWU1ZFmvGBFXTiAF,1
12,20,vyYbok288h,54,F,9,600476511,Enfermera_12,login_12,658989551,I07jAbK64bLFBx2,brbf36MluvY5SPGLTJ2PqV3aqAzV9j,1
13,30,fyeN90Juic,41,F,6,600551515,Enfermera_13,login_13,832906508,rK3acm3Bcc1Fh2l,nnvbLZRtA2cz73QQ7AqmJ8G0D5lcn8,1
14,10,CeiklbrcPh,39,,1,600794989,Enfermera_14,login_14,238139974,gMeGVomn90VwHnh,oUivavKBxEV29zPdkVDGEq3WwTnivo,0
15,20,MPUh9pm3En,56,M,9,600381613,Enfermera_15,login_15,401767656,VKsI0UrWc2R3lVA,sXoVLks9V1XgnVaYcmuqw6Ai0yaCL1,0
16,30,v9ftEB8cy5,48,F,3,600839524,Enfermera_16,login_16,835383356,bMOSSORKoFW45nM,s6UbSXzRRvmZK6hmsRwJI019me6evK,1
17,20,FihPFVfnAs,30,F,9,600852777,Enfermera_17,login_17,526854004,9CanzKhHPBU7AX5,HteFX9CCSHML0YG20bYEEn3pE4EKZW,1
18,20,PLUHm6Yd8b,34,,10,600343439,Enfermera_18,login_18,249289789,rMTZOJ7NWZz215G,xNN4kMb5hTQ1cFetDY3ePoNfhB8AtF,0
19,30,YzJHU8RMSy,41,F,7,600300261,Enfermera_19,login_19,230424523,jlR1jAg65ZsAKlC,txggxHGAPSjUmri1jwd2Otro1d6uCi,0
