Id_Sesion,id_enfermera,fcm_token
1,11,2KmD31d4B7ZkTE5BtlmEPpVU25eqRq
2,49,4ssOTjfHfVs9BOcfckDfzVonDeqfCQ
3,58,euQ1Xg5M0FmMs9TvH2VyBuJr4CYz8z
4,84,ygzTNCaDKBomYGJll4i5AwDPCaod5s
5,25,PZeujIdEt0TgNUHPBFmgT95D0In1EG
6,1,h6IBI5CfUY5CEGDXxtScdOvri1Xzxb
7,2,AhNO829WIGnDysM1qk7JDepdHuhiMS
8,83,i1Z52Thk9hq8P7uwKU9MrJK4jXlUyq
9,23,OSUH7ehDCVKFrHEQ789AXL981YJDh2
10,95,DvP0oabgsDrsLtswyqNQBPcu4LsFTz
11,12,B9LtRzlNBTvzCJet9qe1RooaFW3yK1
12,41,m57iB54X9eCCGvxiKHyBJWDdBMnBL3
13,61,UIYoHcsngqbPUlhkbIRpv3gUOcAiyc
14,11,8mookLL5YFcznnPr3jYEMUFUXLwI1R
15,34,zZB5RwHeDsqEpEfuCU5gSkBNfkkBLC
16,83,uRH0rSkr33VU750BgZQfweK6COPPJ4
17,81,4WXpihkowl00E28Um6PkwFxux0ZMip
18,13,RCS7WVo9LRcqjDE4NUYG6S97EIjUE6
19,76,bRwdVCEaWCi0NVdxtExru2vE3f7cEH
20,99,i816W8Z0jM1c2RGfig3T1hWbCz0SoM
21,6,vEoGHuvFCxHgZiLyz2R3bkrdDCjMDg
22,30,KeIKGKmxb8dQYGBBuwU3NMEjRbwgUI
23,96,AhdqiWqn42cDRwth2cbAGVWHM62WL0
24,60,ugbNUJ7QRE8iGKxeTgFaLWPB8gsymk
25,42,uYlTc5lB906vFBiWLdK4OvgouqGYtA
26,75,YGzFEIC9bqfEY6kAm1lpk60tzitCCN
27,98,z2T6oS3fuBG3PM5L25BNbgTNvwrvve
28,70,OtAwEmLEDJMNmMIuxGrkKpQaRo80Cu
29,4,lIpa2CwDWOGrEm5mAOvA7vghkfIcqL
30,70,OAM0oc9d3mRJg4S32aOqW5KB3cpF0Q
31,14,3oPo2oz67PW8kaQrDRpqM2J7ebdM6D
32,79,K1YxACg1XJ7btZFSkU03uQqYqtjuhY
33,61,PbRTB6uL1zq729ToN0ldFYYDk15Amg
34,56,RkQxcAb3yupBhyhfQSnOxJCw5JMUkS
35,25,UDFCO4mNq5dh7tFO4Dq8MbExwMhRsE
36,100,rmAFeZ0tlETnxdRdFKUKsBpeUy0FFE
37,96,duaIx9Yus2Xvo8gzvCgFiYktFVMMTj
38,39,Yy0t6oCtGj5kgtIL9G4yqxE1Y9txkk
39,75,X7H3fEkFYMs4icqKFYJRFq8hs73O6S
40,100,ajCHlxg52JbZZJigL4IgRjBaHNdJ80
41,70,bXhmg9gGsfAKez1c0cT2XPZXQpaApH
42,67,xzq9cEx8jPyIL6rXqpRQfhqooCsyY3
43,66,mNCP0AkP24FnGoMtVX0oFLxUZJbfxQ
44,84,ulZOlEigwhZypQv30TFT2D8VT4NV1V
45,48,2U3yX62IDGOQJLeAXX8VW9muGXjNZt
46,14,HLr8M5xHDS8V5qX5R98ER1T99xmH41
47,76,qkWSEh8mhpukCYgOpa1D9fFy0oOINM
48,5,Bymssoe7oR9NNno6RG5fQFTRtE5VoU
49,60,8SbQLE03FsHcCgiDWSBpne2dsSMU9x
50,21,dkZpT3Yji95EpoJSvpSf6NT5CNTbnT
51,26,r7HIcCAqvIz3p13yHNw7zpULxKpCcL
52,4,gWyyWczt3JNbLhgp9GI9ta5J8wqi47
53,55,YzqTxsVwhFfh2jm1pGxtrSCx94wmi7
54,68,V68z0aQg6DlbfmMQqDCN4vG5iugzV2
55,82,KAfalLsdwNOcaYQJWRNIaOS5g0u3aX
56,17,mdLCOr5nMmiuGvmFnd2lEI8S24a8mS
57,68,sECRmVHdBA4Hr3BqnfoZi0MRhvTDoj
58,29,g72URhBEF3yxy5zNBXwQ0h7FWOUf8l
59,75,X8SoC5eSFisSUfL89ndquwGH0XtxY3
60,49,NeTqf72zG7HGSOhhJ9kA04UxDwxOyn
61,37,cJFqSwWF1bdKahWkoI1MkgIjxTeSLW
62,32,VKKi7fBqPVRrSeoILeZECjVWRF23A3
63,34,EX3O3W6MP3QU24lCqNvu3scUUXcIO9
64,1,DjwjbFhZ6VmSqL1faKGJdanX2wIGBe
65,31,barOHuLPNvBrqeFNvaEkuxAeU48ymq
66,24,gP5gAbbVIDzQkUVCSsOL1pt3QQvXpT
67,94,PWGm0IMIWzEdhYUEvXgwIUFDTtY3Nt
68,95,tAb2Dsb2aenKPLvCzc0gWj27phXD8n
69,4,vtCzCXoO9v8EFqhK5UL2DcpERQpVEu
70,3,guQ1u8dC8SyhPmeZ3dUwk7uAdNnfUp
71,14,wailS3434MQcm2GMiSWP8uU5F8G3ua
72,53,kEPyhsXuBNitIjJ79Sij4EbXHglFqM
73,49,K7vzBSvVLxszX2YYGPi8tK6SQYS8YQ
74,63,Gy8zZ1nmMIsWMf1mR9XD4UHtbZKnSC
75,54,mGwc2fimtikHnfAQ6qzVYDRYVyL7Jd
76,59,SPjJqItpRrZjEYMXoEmLkru9GQzqkF
77,24,y9LEEl7g9htkVldFnEYN91uqxhqjvQ
78,24,a3rwRKLEgy2PsdEPubtoDHOe3Lia5s
79,93,WlO2BcFnxPZ0wxewey0ezu3rJcXcod
80,68,IJgJpgB03kVMdrmXNrfPvWD1EXOorQ
81,71,dP2gQ9IdLlEyUcvSCr5j547UnsKde8
82,64,qIsjNMAdP1X2EhZ9digEfhyyzhu9cu
83,67,r2m9fhByVcfKDYzrm5TWGzVNVCvTJS
84,11,97QveIdmsEhq7lGpSLubSRvPlSGrgH
85,94,qCAQVBoemFBoVlXzynCtgYb0wdXn2T
86,50,XYB1VixCPOYD9YxVLimyNQnydRE5mH
87,37,t2Ukczq9ttrzDTeL3xral0H6lHgIBg
88,91,roQMhaCH6JZ8icgzGtw6ulfVRuaFEV
89,74,9v3ejPH1ejAFs0Go5N7cvpSJTpVBLq
90,24,xNdMugsj8ELCLIuNoV5hc9Z2ZqUQqF
91,67,Oboe78GifGP0zyn2NTYXwvXbePmrse
92,47,qpYvo7sNTnuQyZiqtpCTvNV9VQMa0N
93,10,B9NGvKm5hnkvx0NXbh5hydFjYKiHGx
94,86,457fM25aRjuZSUYyVd0vMxN29psOA5
95,26,elqbw6AVUgC3Ym4D4gkeN07MS7jY4R
96,25,qsHaJz6Y1T9L27JHYnLhhK2wWx76As
97,72,2Z5g9Fn1AurYp2I12JIMGZxhsLxkW2
98,9,0INLqCxjYKs0HSh7RBbargN8e1lGt5
99,30,GR9TKLH2Hmyw6lxfA9NWOtvSouchVD
100,63,iJNPoYJ8tnknrrwL5ye7DmL24DYyXt
101,6,HOswH2ScjtQKuHJ2iMqkYhVySq6LOm
102,1,qGzT0IwU8To7gIKot3ZRpyNqD5MXZe
103,74,ESd6Ro0wxnjk05yxzi7SRO33YIbUN8
104,59,s7HuiXCQ8pueps8VvVjEA9Hl07wABB
105,31,dSzi1TV0KzNeOCUZPbjVTwrXci7de2
106,19,kdHNAy560tnTkSuWAJJ5MddBAlkZoK
107,92,UsIY6QOgS8TjW4WGupybDmgmYzLKFd
108,5,NeWTQgdhmWSD1R2Kg9ThLOQ1pT1wU9
109,92,LFdv3KLCbjjHazoCE4decNNIvjDrUf
110,59,VKU1LoXykIphUEkLvNUo1dzqDjslA7
111,58,9LOTriBhkUFQq3tD94ws8jDyhuZ5zS
112,75,xhlmXvuIMeyXKKNjUqbb6FJhoP46CX
113,86,9ZBvJYIU6dNVZIOUmVh7tkc7Tx4U9P
114,44,GPq8tsg6ofWI2O8Um0PwpB6Rb8C7jV
115,31,RRn5yskL34SFtx0VliznIYcptAKtv7
116,76,3Hedy201hDhKKhtEYydH598IbAWOWJ
117,100,cGH1FFztEde7lHoGFdL3bALQbmCbb1
118,17,2ifdism2IPbI5pMIRKG8MOYpfOjj7r
119,90,mbqht31UTf2GTEtba1rX0GXIoEEAOW
120,87,B5dU0dloAMOyf097anTvkdecA4xNs4
121,47,yzjWqoF6RdP9X2NNFhoA3J4VZxW7so
